380 50.91004
385 53.24638
390 60.26954
395 74.32288
400 84.50110
405 88.86668
410 91.87516
415 92.84806
420 92.08188
425 88.70712
430 90.31884
435 99.41014
440 107.29360
445 113.36500
450 117.16880
455 117.57080
460 117.22200
465 115.74600
470 115.07340
475 115.60440
480 114.50060
485 110.94460
490 108.91960
495 109.19100
500 109.04360
505 108.26760
510 107.19960
515 105.69360
520 105.37000
525 106.81900
530 107.03220
535 105.39020
540 104.33300
545 104.15380
550 103.23680
555 101.21380
560 99.26684
565 97.43394
570 96.22496
575 95.95186
580 94.36752
585 90.81632
590 88.94972
595 89.61002
600 89.92480
605 89.72120
610 89.21902
615 88.26882
620 86.81670
625 84.61160
630 83.37072
635 83.57602
640 82.96472
645 81.12852
650 80.06436
655 80.15826
660 80.62724
665 81.65884
670 81.47908
675 79.48228
680 76.57160
685 72.29018
690 70.09886
695 71.04276
700 72.15710
705 73.52700
710 71.80000
715 65.42750
720 63.26032
725 67.40112
730 70.92588
735 73.52658
740 72.78814
745 67.04098
750 60.15778
755 51.57052
760 50.49564
765 60.68924
770 66.12088
775 64.40958
780 63.56704
